period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2019-06,TN,Tennessee,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,TN,Tennessee,RES,residential,2914113.0,11.09,394.09837,3553.89705,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,TN,Tennessee,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,TN,Tennessee,IND,industrial,1017.0,5.81,103.14269,1773.84371,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,TN,Tennessee,COM,commercial,498666.0,10.75,345.63142,3215.40124,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,TN,Tennessee,ALL,all sectors,3413796.0,9.87,842.87248,8543.14199,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SD,South Dakota,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SD,South Dakota,RES,residential,403310.0,12.75,43.97258,344.81388,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SD,South Dakota,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SD,South Dakota,IND,industrial,4169.0,7.95,19.69873,247.78335,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SD,South Dakota,COM,commercial,73818.0,10.16,40.09527,394.7465,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SD,South Dakota,ALL,all sectors,481297.0,10.51,103.76657,987.34372,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SC,South Carolina,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SC,South Carolina,RES,residential,2331641.0,13.03,369.49053,2836.74671,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SC,South Carolina,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SC,South Carolina,IND,industrial,3722.0,6.38,139.88825,2191.33654,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,SC,South Carolina,COM,commercial,384077.0,10.59,214.16954,2022.36072,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,DC,District of Columbia,ALL,all sectors,308486.0,11.76,110.84637,942.33521,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,DE,Delaware,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,DE,Delaware,RES,residential,438541.0,12.36,49.29929,398.85658,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,DE,Delaware,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,DE,Delaware,IND,industrial,864.0,7.5,13.65327,182.03426,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,DE,Delaware,COM,commercial,55966.0,8.96,34.61708,386.52822,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,DE,Delaware,ALL,all sectors,495371.0,10.09,97.56963,967.41905,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CT,Connecticut,TRA,transportation,3.0,16.39,1.61286,9.84157,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CT,Connecticut,RES,residential,1509735.0,23.09,217.89405,943.78036,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CT,Connecticut,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CT,Connecticut,IND,industrial,4188.0,13.6,33.98161,249.86776,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CT,Connecticut,COM,commercial,151914.0,17.5,182.14795,1040.89155,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CT,Connecticut,ALL,all sectors,1665840.0,19.41,435.63647,2244.38124,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CO,Colorado,TRA,transportation,1.0,9.16,0.7912,8.63397,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CO,Colorado,RES,residential,2367464.0,12.7,194.89709,1534.32675,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CO,Colorado,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CO,Colorado,IND,industrial,14486.0,7.84,103.03253,1314.75425,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CO,Colorado,COM,commercial,381073.0,11.28,195.81956,1735.80031,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CO,Colorado,ALL,all sectors,2763024.0,10.77,494.54037,4593.51528,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CA,California,TRA,transportation,12.0,8.74,5.53858,63.39305,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CA,California,RES,residential,13710484.0,20.77,1352.60641,6512.49559,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CA,California,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CA,California,IND,industrial,144866.0,14.92,571.6514,3830.78207,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,CA,California,COM,commercial,1690196.0,18.14,1642.36091,9051.59393,number of customers,cents per kilowatthour,million dollars,million kilowatthours
